2021-01-24 19:42:25 - INFO - Epoch: 5,	 Iter: 0,	 Loss: 0.43892,	 Val-Acc1: 97.21 (Best: 97.21),	 Val-Acc5: 99.77
2021-01-24 19:42:36 - INFO - Epoch: 5,	 Iter: 100,	 Loss: 0.35568,	 Val-Acc1: 97.80 (Best: 97.80),	 Val-Acc5: 99.88
2021-01-24 19:42:47 - INFO - Epoch: 5,	 Iter: 200,	 Loss: 0.44893,	 Val-Acc1: 97.98 (Best: 97.98),	 Val-Acc5: 99.87
2021-01-24 19:42:58 - INFO - Epoch: 5,	 Iter: 300,	 Loss: 0.42533,	 Val-Acc1: 98.15 (Best: 98.15),	 Val-Acc5: 99.91
2021-01-24 19:43:08 - INFO - Epoch: 5,	 Iter: 400,	 Loss: 0.41865,	 Val-Acc1: 98.11 (Best: 98.15),	 Val-Acc5: 99.89
2021-01-24 19:43:22 - INFO - Epoch: 6,	 Iter: 0,	 Loss: 0.35908,	 Val-Acc1: 98.07 (Best: 98.15),	 Val-Acc5: 99.94
2021-01-24 19:43:32 - INFO - Epoch: 6,	 Iter: 100,	 Loss: 0.33527,	 Val-Acc1: 98.15 (Best: 98.15),	 Val-Acc5: 99.90
2021-01-24 19:43:43 - INFO - Epoch: 6,	 Iter: 200,	 Loss: 0.39385,	 Val-Acc1: 98.18 (Best: 98.18),	 Val-Acc5: 99.90
2021-01-24 19:43:54 - INFO - Epoch: 6,	 Iter: 300,	 Loss: 0.40499,	 Val-Acc1: 98.20 (Best: 98.20),	 Val-Acc5: 99.87
2021-01-24 19:44:05 - INFO - Epoch: 6,	 Iter: 400,	 Loss: 0.42776,	 Val-Acc1: 98.08 (Best: 98.20),	 Val-Acc5: 99.89
2021-01-24 19:44:18 - INFO - Epoch: 7,	 Iter: 0,	 Loss: 0.43192,	 Val-Acc1: 98.10 (Best: 98.20),	 Val-Acc5: 99.88
2021-01-24 19:44:29 - INFO - Epoch: 7,	 Iter: 100,	 Loss: 0.38940,	 Val-Acc1: 98.19 (Best: 98.20),	 Val-Acc5: 99.90
2021-01-24 19:44:40 - INFO - Epoch: 7,	 Iter: 200,	 Loss: 0.44278,	 Val-Acc1: 98.18 (Best: 98.20),	 Val-Acc5: 99.90
2021-01-24 19:44:50 - INFO - Epoch: 7,	 Iter: 300,	 Loss: 0.44464,	 Val-Acc1: 98.13 (Best: 98.20),	 Val-Acc5: 99.86
2021-01-24 19:45:01 - INFO - Epoch: 7,	 Iter: 400,	 Loss: 0.37788,	 Val-Acc1: 98.28 (Best: 98.28),	 Val-Acc5: 99.89
2021-01-24 19:45:15 - INFO - Epoch: 8,	 Iter: 0,	 Loss: 0.38480,	 Val-Acc1: 98.25 (Best: 98.28),	 Val-Acc5: 99.89
